location,380,180,MGO
Buenos Aires,415,435,720
Busan,435,450,640
Durban,,402,632
Fujairah,385,445,648
Gibraltar,393,413,637
Hong Kong,399,406,627
Houston,365,430,615
Istanbul,400,420,650
Las Palmas,397,420,647
Los Angeles,417,467,628
Malta (off),389,409,620
Mumbai,420,0,605
New York,396,421,655
Panama Canal,382,442,645
Piraeus,397,422,640
Rotterdam,367,385,596
Santos,384,416,755
Shanghai,415,477,692
Singapore,394,424,610
St. Petersburg,330,364,600
Suez,421,432,720
Tokyo,437,448,643
